time_start,time_end,model,launch_place,target,destroyed_details,carrier,launched,destroyed,source
2024-06-01,2024-06-01 08:00,Shahed-136/131,Primorsko-Akhtarsk,Ukraine,"{'Odesa oblast': 2, 'Kherson oblast': 8, 'Mykolaiv oblast': 8, 'Lviv oblast': 4,     'Dnipropetrovsk oblast': 10, 'Zaporizhzhia oblast': 3, 'Poltava oblast': 2, 'Kharkiv oblast': 2}",,47.0,46,kpszsu/posts/pfbid0MQf9ZqyVqy5LbU3551ewUGdhaCxYYEC8i3UjqAXjAQYpQnAFke8m3gBmLis1ygcJl
2024-06-01,2024-06-01 08:00,Kalibr,Black Sea,Ukraine,,,10.0,4,kpszsu/posts/pfbid0MQf9ZqyVqy5LbU3551ewUGdhaCxYYEC8i3UjqAXjAQYpQnAFke8m3gBmLis1ygcJl
2024-06-01,2024-06-01 08:00,Iskander-M,Crimea,Ukraine,,,4.0,0,kpszsu/posts/pfbid0MQf9ZqyVqy5LbU3551ewUGdhaCxYYEC8i3UjqAXjAQYpQnAFke8m3gBmLis1ygcJl
2024-06-01,2024-06-01 08:00,Iskander-K,Crimea,Dnipropetrovsk oblast,,,1.0,1,kpszsu/posts/pfbid0MQf9ZqyVqy5LbU3551ewUGdhaCxYYEC8i3UjqAXjAQYpQnAFke8m3gBmLis1ygcJl
2024-06-01,2024-06-01,Unknown UAV,,Kherson oblast,,,1.0,1,PvKPivden/posts/pfbid031HJwGKTHUpXWiVJyUPKuDM7CDCnzpyt7DRKZPFqnrQHW8H4J8QqBxocZxo1G8FgPl
2024-06-01,2024-06-01,Supercam,,Kherson oblast,,,1.0,1,PvKPivden/posts/pfbid031HJwGKTHUpXWiVJyUPKuDM7CDCnzpyt7DRKZPFqnrQHW8H4J8QqBxocZxo1G8FgPl
2024-06-01,2024-06-01,Lancet,,Mykolaiv oblast,,,1.0,1,PvKPivden/posts/pfbid031HJwGKTHUpXWiVJyUPKuDM7CDCnzpyt7DRKZPFqnrQHW8H4J8QqBxocZxo1G8FgPl
2024-06-01,2024-06-01,Iskander-M,,Kherson oblast,,,1.0,0,PvKPivden/posts/pfbid031HJwGKTHUpXWiVJyUPKuDM7CDCnzpyt7DRKZPFqnrQHW8H4J8QqBxocZxo1G8FgPl
2024-06-01,2024-06-01,C-400,,Mykolaiv oblast,,,1.0,0,PvKPivden/posts/pfbid031HJwGKTHUpXWiVJyUPKuDM7CDCnzpyt7DRKZPFqnrQHW8H4J8QqBxocZxo1G8FgPl
2024-05-31,2024-05-31 08:00,Shahed-136/131,Yeysk,Ukraine,"{'Dnipropetrovsk oblast': NaN, 'Zaporizhzhia oblast': NaN, 'Kyiv oblast': NaN}",,4.0,4,kpszsu/posts/pfbid02VBhEDArLuMhrZPKZaYCMh2mcWqiYhYhzZ8JgSnyL2Z5WsaRSXnEF4tMfpMaeSqoyl
2024-05-31,2024-05-31 08:00,Iskander-K,Kursk oblast,Kyiv oblast,,,1.0,1,kpszsu/posts/pfbid02VBhEDArLuMhrZPKZaYCMh2mcWqiYhYhzZ8JgSnyL2Z5WsaRSXnEF4tMfpMaeSqoyl
