week,channel,launched,coverage,fatalities,war_images,war_share_out_of_total
2024-02-26,t5,92.0,0.0256410256410256,151,0.181159420289855,0.0155971479500891
2024-03-04,a3,169.0,0.0311111111111111,116,0.1445497630331753,0.0045185185185185
2024-03-04,la6,169.0,0.0126182965299684,116,0.2231404958677686,0.0028391167192429
2024-03-04,t5,169.0,0.075268817204301,116,0.2540983606557377,0.0066239316239316
2024-03-11,a3,104.0,0.0921985815602836,142,0.1241997439180537,0.0114657210401891
2024-03-11,la6,104.0,0.0485074626865671,142,0.1675191815856777,0.0081467661691542
2024-03-11,t5,104.0,0.1027027027027027,142,0.1652892561983471,0.0125448028673835
2024-03-18,a3,318.0,0.1764705882352941,123,0.1579476861167002,0.0279857397504456
2024-03-18,la6,318.0,0.0825688073394495,123,0.1315304240934234,0.0109072375127421
2024-03-18,t5,318.0,0.1578947368421052,123,0.1429816913687881,0.0147747747747747
2024-03-25,a3,225.0,0.2068965517241379,111,0.1357340720221606,0.0281609195402298
2024-03-25,la6,225.0,0.1590909090909091,111,0.1571428571428571,0.025
2024-03-25,t5,225.0,0.0655737704918032,111,0.1707988980716253,0.0271929824561403
2024-04-01,a3,123.0,0.0297029702970297,175,0.1215469613259668,0.0036303630363036
2024-04-01,la6,123.0,0.0463576158940397,175,0.3791469194312796,0.0176600441501103
2024-04-01,t5,123.0,0.0053763440860215,175,0.256198347107438,0.0169398907103825
2024-04-08,a3,206.0,0.0218579234972677,182,0.2674897119341564,0.00591985428051
2024-04-08,la6,206.0,0.0099667774086378,182,0.2527472527472527,0.002547065337763
2024-04-08,t5,206.0,0.027027027027027,182,0.1475409836065573,0.0008064516129032
2024-04-15,a3,82.0,0.0252525252525252,172,0.1551155115511551,0.0039562289562289
2024-04-15,la6,82.0,0.028391167192429,172,0.3136531365313653,0.0089379600420609
2024-04-15,t5,82.0,0.0163043478260869,172,0.2277227722772277,0.0062162162162162
2024-04-22,a3,92.0,0.0309734513274336,135,0.2042755344418052,0.0063421828908554
2024-04-22,la6,92.0,0.0568181818181818,135,0.2814569536423841,0.0160984848484848
2024-04-22,t5,92.0,0.0,135,0.3278688524590163,0.0054347826086956
2024-04-29,a3,56.0,0.032258064516129,67,0.2670807453416149,0.0061827956989247
2024-04-29,t5,56.0,,67,0.0491803278688524,0.0
