,week,launched,share_with_ukraine,a3_share_with_ukraine,la6_share_with_ukraine,t5_share_with_ukraine,fatalities,a3_war_share_out_of_total,la6_war_share_out_of_total,t5_war_share_out_of_total,count_class_one,total_seconds,combined_war_share_out_of_total,a3_share_class_1,la6_share_class_1,t5_share_class_1,total_share_class_1
24,2023-06-05,126.0,0.06281833616298811,0.07734806629834254,0.036885245901639344,0.08536585365853659,502,0.018047882136279926,0.005327868852459016,0.013922764227642277,411.0,35340,0.011629881154499151,0.23305588585017836,0.14285714285714285,0.1617473435655254,0.18397493285586392
25,2023-06-12,96.0,0.03278688524590164,0.05357142857142857,0.01639344262295082,0.034482758620689655,349,0.009930915371329879,0.004098360655737705,0.010180623973727421,314.0,42060,0.007465525439847837,0.21217712177121772,0.24916943521594684,0.2917647058823529,0.2476340694006309
26,2023-06-19,130.0,0.09636871508379888,0.13596491228070176,0.0802675585284281,0.07407407407407407,156,0.02989766081871345,0.018450390189520625,0.011728395061728396,873.0,42960,0.02032122905027933,0.21918542336548769,0.23727598566308244,0.15721040189125296,0.21256391526661797
27,2023-06-26,49.0,0.07460732984293193,0.09565217391304348,0.06514657980456026,0.06607929515418502,165,0.01855072463768116,0.00988056460369164,0.011160058737151249,590.0,45840,0.01287085514834206,0.1932075471698113,0.15103734439834024,0.16740088105726872,0.17161140197789412
28,2023-07-03,58.0,0.0775,0.08040201005025126,0.08029197080291971,0.0625,135,0.01700167504187605,0.015693430656934307,0.016927083333333332,397.0,24000,0.016541666666666666,0.21079958463136034,0.1951588502269289,0.26859504132231404,0.2127545551982851
29,2023-07-10,110.0,0.05813953488372093,0.0670391061452514,0.06382978723404255,0.028169014084507043,414,0.0057432432432432436,0.04084967320261438,0.010328638497652582,220.0,16200,0.013580246913580247,0.12114014251781473,0.5208333333333334,0.36065573770491804,0.280970625798212
30,2023-07-17,190.0,0.0697211155378486,0.06965174129353234,0.06857142857142857,0.07142857142857142,192,0.016998341625207296,0.008095238095238095,0.014947089947089947,403.0,30120,0.013379814077025232,0.24346793349168647,0.11772853185595568,0.20733944954128442,0.19108582266477003
31,2023-07-24,64.0,0.05136986301369863,0.05357142857142857,0.04405286343612335,0.0582010582010582,140,0.011904761904761904,0.00829662261380323,0.010405643738977073,351.0,35040,0.010017123287671233,0.22058823529411764,0.1870860927152318,0.17691154422788605,0.1933884297520661
32,2023-07-31,115.0,0.05955678670360111,0.06837606837606838,0.04892966360856269,0.06832298136645963,399,0.010130718954248366,0.007257072570725707,0.019772256728778467,433.0,38160,0.011346960167714885,0.15066828675577157,0.1503184713375796,0.28721804511278193,0.19049714034315882
33,2023-08-07,19.0,0.01430615164520744,0.01652892561983471,0.010033444816053512,0.0189873417721519,120,0.00371900826446281,0.002787068004459309,0.004324894514767932,145.0,41940,0.003457319980925131,0.2231404958677686,0.27472527472527475,0.22404371584699453,0.23887973640856672
34,2023-08-14,102.0,0.029003783102143757,0.036585365853658534,0.017369727047146403,0.04861111111111111,173,0.01002710027100271,0.006120760959470637,0.014814814814814815,424.0,47580,0.00891130727196301,0.27255985267034993,0.35071090047393366,0.30117647058823527,0.30503597122302156
35,2023-08-21,38.0,0.06145966709346991,0.07758620689655173,0.05699481865284974,0.049079754601226995,69,0.01810344827586207,0.015500863557858376,0.012985685071574642,738.0,46860,0.015749039692701666,0.23268698060941828,0.27341964965727344,0.2629399585921325,0.2563390065995137
36,2023-08-28,77.0,0.050188205771643665,0.05263157894736842,0.05291005291005291,0.041884816753926704,118,0.011476608187134503,0.009876543209876543,0.008289703315881327,476.0,47820,0.009953994144709327,0.21685082872928177,0.1857379767827529,0.1958762886597938,0.19710144927536233
37,2023-09-04,151.0,0.03873744619799139,0.045871559633027525,0.027491408934707903,0.047872340425531915,172,0.0077217125382263,0.0038946162657502864,0.014539007092198582,333.0,41820,0.007962697274031564,0.16805324459234608,0.14049586776859505,0.30091743119266057,0.20429447852760735
38,2023-09-11,112.0,0.05693430656934306,0.049107142857142856,0.07308970099667775,0.0375,152,0.005133928571428571,0.009745293466223699,0.008125,323.0,41100,0.007858880778588808,0.10391566265060241,0.13273001508295626,0.21487603305785125,0.13727156821079473
39,2023-09-18,170.0,0.052478134110787174,0.091324200913242,0.02877697841726619,0.042328042328042326,254,0.013850837138508371,0.0023381294964028776,0.012610229276895944,364.0,41160,0.008843537414965987,0.15103734439834024,0.08125,0.29545454545454547,0.16781927155371137
40,2023-09-25,194.0,0.044642857142857144,0.07142857142857142,0.03669724770642202,0.031914893617021274,178,0.0140625,0.005733944954128441,0.007180851063829787,264.0,32040,0.008239700374531835,0.19889502762430938,0.15625,0.22252747252747251,0.19033886085075702
41,2023-10-02,101.0,0.05491329479768786,0.07035175879396985,0.033003300330033,0.07368421052631578,215,0.013316582914572864,0.003959131545338442,0.01307017543859649,370.0,39000,0.009487179487179488,0.18861209964412812,0.12109375,0.17591499409681227,0.16802906448683017
42,2023-10-09,71.0,0.005420054200542005,0.004464285714285714,0.00625,0.005154639175257732,156,0.0008928571428571428,0.0027083333333333334,0.0023195876288659794,91.0,44280,0.002055103884372177,0.19672131147540983,0.4297520661157025,0.4426229508196721,0.37448559670781895
43,2023-10-16,62.0,0.01808066759388039,0.022123893805309734,0.013333333333333334,0.02072538860103627,191,0.0038348082595870206,0.0012222222222222222,0.005699481865284974,140.0,43140,0.003245248029670839,0.17218543046357615,0.09090909090909091,0.2716049382716049,0.17789072426937738
44,2023-10-23,73.0,0.016908212560386472,0.030927835051546393,0.0,0.020942408376963352,100,0.008602150537634409,0.0,0.007417102966841187,117.0,22740,0.005145118733509235,0.2644628099173554,,0.3497942386831276,0.32142857142857145
45,2023-10-30,107.0,0.015151515151515152,0.00851063829787234,0.02735562310030395,0.0,181,0.002127659574468085,0.004609929078014184,0.0,121.0,43560,0.002777777777777778,0.2459016393442623,0.16727941176470587,,0.1816816816816817
46,2023-11-06,50.0,0.016260162601626018,0.00881057268722467,0.02830188679245283,0.0051813471502590676,190,0.0002936857562408223,0.003249475890985325,0.0008635578583765112,76.0,44280,0.0017163504968383018,0.03305785123966942,0.11460258780036968,0.16393442622950818,0.10511756569847856
47,2023-11-13,103.0,0.015172413793103448,0.017543859649122806,0.016129032258064516,0.0106951871657754,230,0.0005847953216374269,0.0017741935483870969,0.0010695187165775401,53.0,43500,0.0012183908045977011,0.03319502074688797,0.10927152317880795,0.09917355371900827,0.07981927710843373
48,2023-11-20,122.0,0.016506189821182942,0.021551724137931036,0.01948051948051948,0.0053475935828877,138,0.003879310344827586,0.00183982683982684,0.000980392156862745,99.0,43620,0.0022696011004126548,0.18,0.09392265193370165,0.18032786885245902,0.13692946058091288
49,2023-11-27,111.0,0.03576341127922971,0.04017857142857143,0.035483870967741936,0.031088082901554404,159,0.004613095238095238,0.0047849462365591395,0.0065630397236614854,227.0,43620,0.005204034846400734,0.11355311355311355,0.13423831070889894,0.2087912087912088,0.14431023521932612
50,2023-12-04,154.0,0.02526595744680851,0.03070175438596491,0.027522935779816515,0.015228426395939087,129,0.004970760233918129,0.0049439347604485215,0.0010152284263959391,177.0,45120,0.0039228723404255315,0.16152019002375298,0.17929759704251386,0.06557377049180328,0.15458515283842794
51,2023-12-11,175.0,0.04297994269340974,0.07017543859649122,0.025559105431309903,0.03821656050955414,97,0.005994152046783626,0.003993610223642172,0.00881104033970276,240.0,41880,0.0057306590257879654,0.08515057113187954,0.15560165975103735,0.2273972602739726,0.13259668508287292
52,2023-12-18,121.0,0.0234009360374415,0.03980099502487562,0.007326007326007326,0.029940119760479042,105,0.004560530679933665,0.002442002442002442,0.006586826347305389,161.0,38460,0.004186167446697868,0.11410788381742738,0.3333333333333333,0.21710526315789475,0.17770419426048564
53,2023-12-25,336.0,0.04851752021563342,0.05752212389380531,0.04859335038363171,0.032,240,0.019174041297935103,0.009121909633418584,0.0108,555.0,44520,0.012466307277628033,0.33163265306122447,0.18624891209747607,0.3319672131147541,0.2549379880569591
54,2024-01-01,326.0,0.01892744479495268,0.02030456852791878,0.0176678445229682,0.01948051948051948,254,0.0069373942470389175,0.002355712603062426,0.005844155844155844,176.0,38040,0.0046267087276551,0.33884297520661155,0.132013201320132,0.2967032967032967,0.24209078404401652
55,2024-01-08,105.0,0.00821917808219178,0.00980392156862745,0.003105590062111801,0.014705882352941176,132,0.0022058823529411764,5.175983436853002e-05,0.0022058823529411764,55.0,43800,0.0012557077625570776,0.2231404958677686,0.01639344262295082,0.14754098360655737,0.1506849315068493
56,2024-01-15,76.0,0.030805687203791468,0.04316546762589928,0.03260869565217391,0.010101010101010102,136,0.0057553956834532375,0.005253623188405797,0.00101010101010101,112.0,25320,0.0044233807266982625,0.1322314049586777,0.15977961432506887,0.1,0.14249363867684478
57,2024-01-22,92.0,0.04185022026431718,0.058823529411764705,0.0299625468164794,0.012269938650306749,100,0.01622103386809269,0.008364544319600499,,316.0,27240,0.011600587371512481,0.27450980392156865,0.2774327122153209,,0.2757417102966841
58,2024-01-29,125.0,0.0297029702970297,0.06167400881057269,0.015772870662460567,0.037037037037037035,154,0.008883994126284876,0.0038380651945320713,0.00408997955010225,234.0,42420,0.005516265912305516,0.14336492890995262,0.24172185430463577,0.3305785123966942,0.18468823993685873
59,2024-02-05,177.0,0.02455661664392906,0.03070175438596491,0.012658227848101266,0.0783132530120482,188,0.004532163742690058,0.0018459915611814346,0.0038800705467372134,141.0,43980,0.0032060027285129604,0.14726840855106887,0.14583333333333334,0.10377358490566038,0.12995391705069123
60,2024-02-12,97.0,0.08458390177353342,0.11244979919678715,0.0660377358490566,0.12962962962962962,264,0.014323962516733601,0.013469601677148847,0.01034136546184739,574.0,43980,0.013051386994088221,0.12700296735905045,0.20332278481012658,0.13087674714104194,0.15364025695931477
61,2024-02-19,143.0,0.08404384896467722,0.08813559322033898,0.04838709677419355,0.0855614973262032,313,0.01175141242937853,0.007688172043010753,0.024382716049382715,667.0,49260,0.013540397888753553,0.13273771537970644,0.15853658536585366,0.1867612293144208,0.16029800528719057
62,2024-02-26,92.0,0.05702364394993046,0.05357142857142857,0.04220779220779221,0.02564102564102564,151,0.008035714285714285,0.00762987012987013,0.015597147950089126,424.0,43140,0.009828465461288826,0.14979195561719832,0.18007662835249041,0.18115942028985507,0.17165991902834007
63,2024-03-04,169.0,0.02148997134670487,0.03111111111111111,0.012618296529968454,0.07526881720430108,116,0.004518518518518519,0.0028391167192429023,0.006623931623931624,177.0,41880,0.004226361031518625,0.14454976303317535,0.2231404958677686,0.2540983606557377,0.1949339207048458
64,2024-03-11,104.0,0.06722689075630252,0.09219858156028368,0.048507462686567165,0.10270270270270271,142,0.011465721040189124,0.008146766169154229,0.012544802867383513,368.0,35700,0.01030812324929972,0.12419974391805377,0.16751918158567775,0.1652892561983471,0.15269709543568466
65,2024-03-18,318.0,0.11301859799713877,0.17647058823529413,0.08256880733944955,0.15789473684210525,123,0.027985739750445632,0.0109072375127421,0.014774774774774775,692.0,41940,0.016499761564139247,0.1579476861167002,0.13153042409342347,0.14298169136878813,0.14531709365812684
66,2024-03-25,225.0,0.17117117117117117,0.20689655172413793,0.1590909090909091,0.06557377049180328,111,0.028160919540229885,0.025,0.027192982456140352,177.0,6660,0.026576576576576576,0.13573407202216067,0.15714285714285714,0.17079889807162535,0.1547202797202797
67,2024-04-01,123.0,0.04472843450479233,0.0297029702970297,0.046357615894039736,0.005376344086021506,175,0.0036303630363036304,0.017660044150110375,0.016939890710382512,244.0,18780,0.012992545260915868,0.12154696132596685,0.3791469194312796,0.256198347107438,0.28875739644970416
68,2024-04-08,206.0,0.011940298507462687,0.02185792349726776,0.009966777408637873,0.02702702702702703,182,0.005919854280510018,0.0025470653377630123,0.0008064516129032258,120.0,40200,0.0029850746268656717,0.2674897119341564,0.25274725274725274,0.14754098360655737,0.24691358024691357
69,2024-04-15,82.0,0.027142857142857142,0.025252525252525252,0.028391167192429023,0.016304347826086956,172,0.003956228956228956,0.008937960042060988,0.006216216216216216,286.0,42000,0.00680952380952381,0.1551155115511551,0.31365313653136534,0.22772277227722773,0.24912891986062718
70,2024-04-22,92.0,0.030120481927710843,0.030973451327433628,0.056818181818181816,0.0,135,0.006342182890855457,0.016098484848484848,0.005434782608695652,231.0,29880,0.007730923694779117,0.2042755344418052,0.2814569536423841,0.32786885245901637,0.25496688741721857
71,2024-04-29,56.0,0.016129032258064516,0.03225806451612903,,,67,0.006182795698924731,,0.0,23.0,7440,0.0030913978494623655,0.2670807453416149,,0.04918032786885246,0.2426470588235294
